101       0.95430066       0.53476019       0.78638308 
102       0.25897683       1.29268411      -0.09303809 
103       0.04963105       0.83961915       0.19371232 
104       0.15506553       0.80214436      -0.04522059 
105       1.17684879       0.48379798       0.67733531 
106       0.72957623       0.94850495       0.16219860 
107      -0.09541726       0.53145786       0.45161177 
108       0.19615731       0.38346230       0.08684193 
109       0.19590737       1.02389513       0.81568407 
110       1.12182813       0.26116549       0.60416377 
111       0.58744148       0.17806531       0.69144076 
112       0.87568760       0.26743751       0.22345254 
113       0.18836076       0.70459442       0.16364689 
114       0.54951400      -0.16934549       0.75189114 
115       0.59432839       0.21436006       0.61564724 
116       0.06219026       0.84028166       0.72125208 
117       0.51571858       0.31028565       0.68729774 
118       1.07069601       0.49480536       0.61424071 
119       0.05481791       0.91328442       0.26143169 
120       0.16337792       0.83125354       0.19127955 
121       0.94574126       0.35674795       0.20951358 
122       1.03403132       0.25676526       0.91610608 
123       0.79947383       0.91478788       0.13412846 
124       0.64475108       1.10074914       0.61789419 
125       0.26959582       1.30910832       0.35481568 
126       0.24118495       0.32600127      -0.09173934 
127       0.07742482       0.33864601       0.65177189 
128       0.16946301       0.95860973       1.15390245 
129       0.37021122       0.82383381       0.59867890 
130       0.83660131       0.39535972       0.47189907 
131       0.21233497       0.27257804       0.31258528 
132       1.27296499       0.31957794       0.25659502 
133       0.10360523       0.17803998       0.29385232 
134       0.08119383       0.33273999       1.01222544 
135       0.35060224       0.05705272       0.83991734 
136       0.95479536       0.45506630       0.21364449 
137       0.82691582       0.28214707       0.87603720 
138       0.43145967       0.75109393       1.03779752 
139       1.02093265       0.80316803       0.60346896 
140       0.40905982       0.32056927       0.13043753 
141       1.02891156       0.19832101       0.08262571 
142       0.27132851       0.56904391       0.47774237 
143       0.84142216       0.61855267       0.79034072 
144       0.22932736       0.72273882       0.81816133 
145       0.65505047       0.04802193       0.66999120 
146       0.04782528       0.81618476       0.11231633 
147       0.01469587       1.18409827       0.54599814 
148       0.27662680       0.39039093       0.43119254 
149       0.21109276      -0.04434036       0.03638614 
150       0.94265828       0.86916969       0.86377337 
151       0.38865555       0.28945506       0.40741654 
152       0.33352977       1.07062897       0.62176748 
153       0.12268038       0.78681306       0.87009645 
154       0.28657666       0.86174503       0.72676346 
155      -0.03634212       0.97789752       0.44142296 
156       0.86515521       0.45845230       0.18695894 
157       0.34685842      -0.01479983       0.33317668 
158       0.69060952       0.37732005       0.29769260 
159       0.33894630       0.68182983       0.39195612 
160       0.31857365       0.37636909       0.06111612 
161       1.05121800       0.72933665       0.53367310 
162       0.76958168       1.12418912      -0.12619248 
163       0.38180093       0.38713391       0.73015806 
164       0.95345702       0.23570033       0.65885987 
165       0.12257816       1.17759594       0.58560441 
166       0.34917154       0.42597696       0.64692456 
167       0.17328534       0.44347970       0.58060419 
168       0.10957213       0.29394594       0.52247636 
169       0.30077089       0.16729522      -0.10809747 
170      -0.05953806       0.78897172       0.66859894 
171       0.72372305       0.52146628       0.70244259 
172       0.74457256       0.94527141       0.63599139 
173       0.03435112       0.61124707       0.63115284 
174       1.02134632       0.50626167       0.16869479 
175      -0.00545403       0.16053535       0.60016419 
176       0.52911519       0.90937147       0.23499998 
177       0.21523611       0.16083764       0.25322052 
178       0.61747723      -0.14132584       0.94427871 
179       0.79323503       0.88573531       0.57539479 
180       0.61566257       0.69255717       0.54737168 
181       0.39787200       0.91904240       0.80331202 
182       0.96436774       0.45306624       0.42595979 
183       0.18680212       0.69537752       0.74550876 
184       0.90329009      -0.06568017       0.11391907 
185       0.06830736       0.32968848       0.93191329 
186       0.35933083       0.43834221       0.34036346 
187       0.59750584       0.58513472       0.00773276 
